end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
496,E 16 St & 5 Ave,40.73726186,-73.99238967,631.8792674,3553689,5624,2019,subs
497,E 17 St & Broadway,40.73704984,-73.99009296,739.1222691,8051998,10894,2019,subs
498,Broadway & W 32 St,40.74854862,-73.98808416,570.0042254,404703,710,2019,subs
499,Broadway & W 60 St,40.76915505,-73.98191841,886.2032453,6444470,7272,2019,subs
500,Broadway & W 51 St,40.76228826,-73.98336183,723.5625827,2734343,3779,2019,subs
501,FDR Drive & E 35 St,40.744219,-73.97121214,836.6079595,3804893,4548,2019,subs
502,Henry St & Grand St,40.714215,-73.981346,697.7598986,2202828,3157,2019,subs
503,E 20 St & Park Ave,40.73827428,-73.98751968,673.3379958,3225289,4790,2019,subs
504,1 Ave & E 16 St,40.73221853,-73.98165557,648.4204687,4675760,7211,2019,subs
505,6 Ave & W 33 St,40.74901271,-73.98848395,764.2814961,776510,1016,2019,subs
507,E 25 St & 2 Ave,40.73912601,-73.97973776,701.3042851,3404131,4854,2019,subs
508,W 46 St & 11 Ave,40.76341379,-73.99667444,868.2932124,3159719,3639,2019,subs
509,9 Ave & W 22 St,40.7454973,-74.00197139,262.4,2624,10,2019,subs
513,W 56 St & 10 Ave,40.768254,-73.988639,793.926358,2177740,2743,2019,subs
514,12 Ave & W 40 St,40.76087502,-74.00277668,1166.273188,8977971,7698,2019,subs
515,W 43 St & 10 Ave,40.76009437,-73.99461843,730.2370263,3025372,4143,2019,subs
516,E 47 St & 1 Ave,40.75206862,-73.96784384,901.5862069,1438030,1595,2019,subs
517,Pershing Square South,40.751581,-73.97791,739.2476567,3549128,4801,2019,subs
518,E 39 St & 2 Ave,40.74780373,-73.9734419,804.7369678,4044608,5026,2019,subs
519,Pershing Square North,40.751873,-73.977706,811.2798424,10914959,13454,2019,subs
520,W 52 St & 5 Ave,40.75992262,-73.97648516,781.9311795,4090282,5231,2019,subs
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,824.4055446,2081624,2525,2019,subs
523,W 38 St & 8 Ave,40.75466591,-73.99138152,790.7684047,5596268,7077,2019,subs
524,W 43 St & 6 Ave,40.75527307,-73.98316936,843.0364571,3607353,4279,2019,subs
525,W 34 St & 11 Ave,40.75594159,-74.0021163,980.4339996,4954133,5053,2019,subs
526,E 33 St & 5 Ave,40.74765947,-73.98490707,729.0813772,4192947,5751,2019,subs
528,2 Ave & E 31 St,40.74290902,-73.97706058,769.907916,3812584,4952,2019,subs
529,W 42 St & 8 Ave,40.7575699,-73.99098507,731.5360082,2844212,3888,2019,subs
530,11 Ave & W 59 St,40.77149671,-73.99046034,978.2982572,4434626,4533,2019,subs
531,Forsyth St & Broome St,40.71893904,-73.99266288,746.1346455,3335968,4471,2019,subs
532,S 5 Pl & S 5 St,40.710451,-73.960876,1155.44418,3394695,2938,2019,subs
533,Broadway & W 38 St,40.75299641,-73.98721619,815.7275681,3263726,4001,2019,subs
534,Water - Whitehall Plaza,40.70255065,-74.0127234,1185.501458,2033135,1715,2019,subs
536,1 Ave & E 30 St,40.74144387,-73.97536082,693.5638528,2563412,3696,2019,subs
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,770.382566,2978299,3866,2019,subs
540,Lexington Ave & E 29 St,40.74311555,-73.98215353,713.0422879,2630413,3689,2019,subs
545,E 23 St & 1 Ave,40.736502,-73.97809472,665.8323272,3419049,5135,2019,subs
546,E 30 St & Park Ave S,40.74444921,-73.98303529,658.9331448,2562591,3889,2019,subs
2000,Front St & Washington St,40.70255088,-73.98940236,911.6619343,2054886,2254,2019,subs
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,841.3259191,2723372,3237,2019,subs
2003,1 Ave & E 18 St,40.73381219,-73.98054421,648.9622926,3011834,4641,2019,subs
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,805.0446429,90165,112,2019,subs
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,896.9896838,3999677,4459,2019,subs
2008,Little West St & 1 Pl,40.70569254,-74.01677685,1119.963372,4861761,4341,2019,subs
2009,Catherine St & Monroe St,40.71117444,-73.99682619,729.02666,1449305,1988,2019,subs
2012,E 27 St & 1 Ave,40.739445,-73.976806,714.6987108,2550045,3568,2019,subs
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,1072.809751,2024392,1887,2019,subs
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,770.8853027,2890049,3749,2019,subs
2022,E 60 St & York Ave,40.759107,-73.959223,994.6749193,924053,929,2019,subs
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,874.1489262,1872427,2142,2019,subs
3002,South End Ave & Liberty St,40.711512,-74.015756,989.5489016,6576542,6646,2019,subs
3016,Kent Ave & N 7 St,40.72036775,-73.96165073,840.6498628,2451335,2916,2019,subs
3040,Handlebar @ Gowanus,40.66979964,-73.99497986,306814,1534070,5,2019,subs
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,2485.994059,1255427,505,2019,subs
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,9454.679764,4812432,509,2019,subs
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,1046.987097,324566,310,2019,subs
3044,Albany Ave & Fulton St,40.6800105,-73.938475,8198.837963,1770949,216,2019,subs
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,872.5111524,469411,538,2019,subs
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,891.664,557290,625,2019,subs
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,849.7057471,369622,435,2019,subs
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,714.3138781,550736,771,2019,subs
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,900.9273649,533349,592,2019,subs
3052,Lewis Ave & Madison St,40.686312,-73.935775,1014.51049,725375,715,2019,subs
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,7065.376812,2925066,414,2019,subs
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,851.7348643,407981,479,2019,subs
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,1164.231343,624028,536,2019,subs
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,743.754977,485672,653,2019,subs
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,773.3022636,580750,751,2019,subs
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,2274.067594,1143856,503,2019,subs
